; Zeus eventmsg.zh-CN.txt (UTF-8)
;REASON PHRASES FOR AUTOMATICALLY TRIGGERED EVENTS

	;Provocation (HIGH BENEVOLENCE/HOSTILITY)
PHRASE_really_benevolent		"由于[leader_name]真的非常喜欢你，"
PHRASE_benevolent				"由于[leader_name]很喜欢你，"
PHRASE_hostile					"由于[leader_name]不是很喜欢你，"
PHRASE_really_hostile			"由于[leader_name]很生你的气，"
		
 	;Opportunity
PHRASE_weakness					"由于[leader_name]觉得你的实力太弱了，"
PHRASE_out_of_money 			""
 
 	;Response
PHRASE_request_response			""
 
 	;Combat results/results of player actions
PHRASE_player_attacked			""

;&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&  ***********     TEXT FOR EVENTS *******   &&&&&&&&&&&&&&&&&&&&&&&&&&


;***************************************************REQUESTS


; TONES INDICATED ARE:
; _S = Standard
; _D = Demand
; _P = Plea
; _R = Requisition

;**************************************FOOD, GOODS & MONEY REQUESTS**********************************

;******Famine Relief*********************************************************
PHRASE_famine_relief_relief_title_S 					"[city_name]发生饥荒"
PHRASE_famine_relief_relief_oracle_prediction_S		"你好，[player_name]。诸神通过神谕所将如下的事情告诉了我：你的同盟，[city_name]，将遭到饥荒的袭击，其人民将承受巨大的痛苦。他们的执政官，[leader_name]，在无可奈何下将向你求助。如果你能提前给他们送去[amount]份粮食的话，这场悲剧就不会发生了。而[leader_name]和他的人民也将在全希腊传颂你的名字。"
PHRASE_famine_relief_relief_initial_announcement_S		"我最尊敬的朋友[player_name]。我，[city_name]的执政官[leader_name]，急需你的帮助。我的城市遭到饥荒袭击，人民痛不欲生。我这里无法生产出足够的粮食，我真担心如果人们再没有东西吃会怎么样。请在[time_allotted]个月内送给我[amount]份粮食！"
PHRASE_famine_relief_relief_reminder_S 				"求你了[player_name]。我，[city_name]的[leader_name]，作为你的同伴再次请求你帮助我。我的人民急需粮食，而时间已经不多了。如果你不在六个月内把粮食送给我的话，真不知道会怎么样。"
PHRASE_famine_relief_relief_overdue_S 				"我简直不能相信，你居然无视我的请求，[player_name]！在得不到你的帮助的情况下，我勉强度过了难关。真是幸得命运女神堤喀的保佑，我才没有被我自己的人民赶出城市。所有[city_name]的居民都对你的行为表示愤慨。如果你马上送[amount]份粮食给我的话，也许我还能原谅你这次小小的..."
PHRASE_famine_relief_relief_warning_S 				"[player_name]！如果你不在六个月内送给我的城市[city_name]，[amount]份食物的话，那么一切都结束了！你也不必再自称是我的同盟了！"
PHRASE_famine_relief_relief_early_reason_S	  			"由于你提前送来了[amount]份粮食，帮我度过了饥荒，"
PHRASE_famine_relief_relief_comply_reason_S  			"由于你送来了我的人民急需的粮食，"
PHRASE_famine_relief_relief_too_late_reason_S 	 		"由于将[amount]份粮食送来时已经太晚了，"
PHRASE_famine_relief_relief_refuse_reason_S	 		"由于你没有将[amount]份粮食送来，"
PHRASE_famine_relief_relief_no_reason_S				""

PHRASE_famine_relief_relief_title_D 					"[city_name]发生饥荒"
